id,level_id,total_time,donuts,candy,level,progress,nbr Items,perseverance badge,concentration,Success,Excellence,Upgrade,total_Time_Education,nb_mistakes,correct Question,correct_Q_Math,correct_Q_Science,correct_Q_Ar,correct_Q_Fr,Q_Best_Time,best_time_math,best_time_science,best_time_ar,best_time_fr,Q_Worst_Time,worst_time_math,worst_time_science,worst_time_ar,worst_time_fr,Q_Avg_Time,Avg_Time_math,Avg_Time__science,Avg_Time_ar,Avg_Time_fr,count ex not completed,PlayerType_results,PlayerType
1661.0,4.0,00:00:20,1.0,350.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.0,0,type_achiever
1677.0,3.0,00:06:07,20.0,350.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1764.0,0.0,10.0,0.0,10.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,5,0,0,6.0,0,type_achiever
1681.0,3.0,00:05:14,10.0,350.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1757.0,0.0,10.0,0.0,10.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,5,0,0,47.0,1,type_disruptor
1683.0,3.0,00:01:42,2.0,350.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,47.0,1,type_disruptor
1700.0,3.0,00:50:19,46.0,350.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1708.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,88.0,1,type_disruptor
1706.0,3.0,00:08:56,16.0,350.0,1.0,0.321428597,0.0,0.0,0.0,0.0,0.0,0.0,777.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,0,0,0,18.0,3,type_player
1714.0,6.0,09:13:49,638.0,3500.0,7.0,0.0,9.0,10.0,7.0,5.0,7.0,6.0,61593.0,0.0,91.0,22.0,40.0,0.0,0.0,26.0,9.0,17.0,0.0,0.0,6.0,2.0,4.0,0.0,0.0,59,11,19,0,0,174.0,3,type_player
1729.0,4.0,00:01:24,1.0,350.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,8.0,0,type_achiever
1734.0,5.0,00:05:51,7.0,350.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3913.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7,0,7,0,0,28.0,3,type_player
1738.0,5.0,00:05:01,10.0,350.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8757.0,0.0,17.0,0.0,17.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,8,0,8,0,0,142.0,0,type_achiever
1745.0,7.0,00:46:16,31.0,350.0,1.0,0.0,0.0,8.0,7.0,6.0,7.0,0.0,27671.0,0.0,57.0,27.0,30.0,0.0,0.0,15.0,11.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,41,15,26,0,0,61.0,0,type_achiever
1750.0,5.0,00:05:42,3.0,350.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1904.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2,0,2,0,0,97.0,1,type_disruptor
1751.0,8.0,00:26:38,25.0,350.0,1.0,0.4285714924,1.0,10.0,7.0,2.0,7.0,0.0,11025.0,0.0,19.0,3.0,16.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2,15,0,0,93.0,0,type_achiever
1766.0,5.0,00:23:45,15.0,350.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4179.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7,0,7,0,0,10.0,0,type_achiever
1770.0,3.0,00:14:33,25.0,1500.0,1.0,0.2857143,3.0,3.0,4.0,1.0,7.0,0.0,1239.0,0.0,7.0,2.0,5.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,3,0,0,58.0,0,type_achiever
1776.0,3.0,00:08:08,6.0,350.0,1.0,0.1071428657,1.0,0.0,2.0,0.0,1.0,0.0,77.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,145.0,3,type_player
1778.0,7.0,00:01:50,1.0,350.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,6.0,0,type_achiever
1784.0,3.0,00:10:57,15.0,350.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3836.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,0,0,0,0.0,0,type_achiever
1791.0,3.0,00:02:04,2.0,350.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,476.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,5.0,0,type_achiever
1808.0,6.0,00:12:16,10.0,350.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1687.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,52.0,1,type_disruptor
1813.0,5.0,00:15:22,11.0,350.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,2366.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,48.0,1,type_disruptor
1825.0,7.0,00:09:46,12.0,500.0,1.0,0.1428571492,1.0,2.0,6.0,1.0,7.0,0.0,182.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,55.0,0,type_achiever
1826.0,12.0,00:01:12,3.0,350.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,280.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,2,0,0,7.0,0,type_achiever
